bowler,season,clutch,balls
HV Patel,2023,-0.431416442617774,302
S Gopal,2020/21,-0.4404210243374109,305
Mohammed Shami,2020/21,-0.4426004095003009,333
K Rabada,2020/21,-0.45216647066990845,411
BB Sran,2016,-0.46146827936172485,312
Anureet Singh,2015,-0.47488321363925934,322
R Ashwin,2024,-0.47823476791381836,346
Avesh Khan,2024,-0.5566957639530301,346
JH Kallis,2009/10,-0.5991912158206105,350
Kartik Tyagi,2026,-0.6045567849650979,317
JJ Bumrah,2016,-0.6377653731033206,322
K Rabada,2026,-0.7346564419567585,400
MM Sharma,2015,-0.7650529025122523,350
Harbhajan Singh,2016,-0.8231299445033073,300
Mohammed Siraj,2024,-0.9816014273383189,350
Mohammed Siraj,2022,-1.1132984524592757,325
Arshdeep Singh,2024,-1.5895307809114456,326
